tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes
tt0263206;video;Christmas in South Park;Christmas in South Park;0;2000;\N;100;Animation,Comedy,Musical;9.0;5
tt0263345;video;Flans: El concierto;Flans: El concierto;0;2000;\N;\N;Musical;8.9;17
tt0263503;tvMovie;JÃ³zsef Ã©s testvÃ©rei;JÃ³zsef Ã©s testvÃ©rei;0;2000;\N;\N;Drama,Musical;7.9;55
tt0265148;movie;I Am Crazy About Love;Main Prem Ki Diwani Hoon;0;2003;\N;197;Comedy,Drama,Musical;8.8;21
tt0265260;movie;Smouldering Cigarette;HamvadÃ³ cigarettavÃ©g;0;2001;\N;\N;Drama,Musical,Romance;6.4;410
tt0265274;movie;Landysh serebristyy;Landysh serebristyy;0;2000;\N;88;Comedy,Musical,Romance;7.4;15
tt0265287;short;Lion's Mouth;Lion's Mouth;0;2000;\N;27;Drama,Fantasy,Musical;5.4;11
tt0265803;movie;Anything But Love;Standard Time;0;2002;\N;102;Musical,Romance;8.3;58
tt0265828;movie;Superstarlet A.D.;Superstarlet A.D.;0;2000;\N;70;Comedy,Musical,Sci-Fi;4.6;43
tt0267231;tvSeries;Vazelina hjulkalender;Vazelina hjulkalender;0;2000;\N;10;Adventure,Family,Musical;8.1;31
tt0267263;movie;Animated Corpse;Animated Corpse;0;2000;\N;143;Drama,Fantasy,Musical;7.6;35
tt0268401;movie;Kahin Pyaar Na Ho Jaaye;Kahin Pyaar Na Ho Jaaye;0;2000;\N;159;Comedy,Drama,Musical;7.7;108
tt0269793;tvSpecial;Rocky Horror 25: Anniversary Special;Rocky Horror 25: Anniversary Special;0;2000;\N;99;Comedy,Music,Musical;7.3;63
tt0270694;tvMovie;Titkos szeretÃ¶k;Titkos szeretÃ¶k;0;2000;\N;79;Drama,Musical;8.2;6
tt0270845;movie;Babs;Babs;0;2000;\N;90;Comedy,Musical;8.5;6
tt0271263;movie;Eight Crazy Nights;Eight Crazy Nights;0;2002;\N;76;Animation,Comedy,Musical;7.7;94
tt0272736;movie;Mujhse Dosti Karoge!;Mujhse Dosti Karoge!;0;2002;\N;149;Drama,Family,Musical;8.4;134
tt0273535;movie;Dil Ne Phir Yaad Kiya;Dil Ne Phir Yaad Kiya;0;2001;\N;\N;Drama,Musical,Romance;6.8;5
tt0274108;tvMovie;Starye pesni o glavnom. Postskriptum;Starye pesni o glavnom. Postskriptum;0;2000;\N;\N;Music,Musical;8.4;13
tt0274415;tvMovie;Carmen: A Hip Hopera;Carmen: A Hip Hopera;0;2001;\N;88;Drama,Musical;8.4;30
tt0274562;movie;IPC 215;IPC 215;0;2000;\N;\N;Musical;8.2;24
tt0274566;movie;Ilaiyavan;Ilaiyavan;0;2000;\N;\N;Musical;7.8;25
tt0274742;movie;Puratchi;Puratchi;0;2000;\N;\N;Musical;8.0;21
tt0274776;movie;Saamy Kodutha Varam;Saamy Kodutha Varam;0;2000;\N;\N;Musical;8.1;19
tt0275173;movie;Aagaayam;Aagaayam;0;2000;\N;\N;Musical;7.8;22
tt0275908;short;Los Almendros - Plaza nueva -;Los Almendros - Plaza nueva -;0;2000;\N;25;Musical,Short;8.0;83
tt0276866;video;Cirque du Soleil: Dralion;Cirque du Soleil: Dralion;0;2001;\N;89;Family,Musical;7.3;41
tt0276946;short;ErÃ¨ mÃ¨la mÃ¨la;ErÃ¨ mÃ¨la mÃ¨la;0;2001;\N;7;Animation,Musical,Short;7.8;41
tt0279021;movie;Chhupa Rustam: A Musical Thriller;Chhupa Rustam: A Musical Thriller;0;2001;\N;127;Drama,Musical,Romance;8.9;16
tt0279108;movie;Getaran;Getaran;0;2001;\N;\N;Musical,Romance;6.0;24
tt0279887;tvMovie;Jekyll & Hyde: The Musical;Jekyll & Hyde: The Musical;0;2001;\N;135;Horror,Musical,Sci-Fi;7.2;6
tt0280599;movie;Devadoothan;Devadoothan;0;2000;\N;158;Drama,Horror,Musical;6.8;37
tt0281243;short;Super Duper;Super Duper;0;2000;\N;6;Comedy,Horror,Musical;8.2;149
tt0281624;movie;Ayyappante Amma Neyyappam Chuttu;Ayyappante Amma Neyyappam Chuttu;0;2000;\N;\N;Musical;9.0;76
tt0281763;movie;Daivathinte Makan;Daivathinte Makan;0;2000;\N;141;Comedy,Musical;7.5;19
tt0281802;video;Destiny's Child: Say My Name;Destiny's Child: Say My Name;0;2000;\N;4;Music,Musical,Short;4.7;50
tt0281804;movie;Dez GrÃ£ozinhos de Terra;Dez GrÃ£ozinhos de Terra;0;2000;\N;52;Documentary,Musical;4.9;50
tt0282363;movie;South of a Passion;El sur de una pasion;0;2000;\N;87;Drama,Musical;7.8;14
tt0282452;movie;Ee Mazha Then Mazha;Ee Mazha Then Mazha;0;2000;\N;122;Musical;6.1;34
tt0282513;movie;The Gang;The Gang;0;2000;\N;\N;Action,Musical,Thriller;7.5;47
tt0282615;movie;Ingine Oru Nilapakshi;Ingine Oru Nilapakshi;0;2000;\N;148;Musical;7.8;5
tt0282784;movie;Neela Thatakathile Nizhal Pakshikal;Neela Thatakathile Nizhal Pakshikal;0;2000;\N;\N;Musical;7.1;276
tt0282801;movie;Nisa Sundarikal;Nisa Sundarikal;0;2000;\N;\N;Musical;7.7;288
tt0282843;movie;Pilots;Pilots;0;2000;\N;\N;Action,Comedy,Musical;7.4;353
tt0283354;movie;GarÃºa;GarÃºa;0;2005;\N;91;Drama,Musical;7.6;43
tt0283367;short;Her Urge;Her Urge;0;2000;\N;15;Comedy,Musical,Short;7.2;34
tt0283405;movie;Indriyam;Indriyam;0;2000;\N;127;Horror,Musical;8.0;437
tt0283486;movie;Millenium Stars;Millenium Stars;0;2000;\N;\N;Comedy,Drama,Musical;9.4;15
